id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400548403,2014,1,regular,2014-08-27T19:00:00.000Z,false,false,10140,3495,Georgia Dome,Georgia State,Sun Belt,38,7,14,0,17,Abilene Christian,,37,3,13,14,7
400548402,2014,1,regular,2014-08-28T18:00:00.000Z,false,true,82847,3994,Williams-Brice Stadium,South Carolina,SEC,28,7,7,14,0,Texas A&M,SEC,52,10,21,14,7
400548091,2014,1,regular,2014-08-28T19:00:00.000Z,false,false,12398,3764,Brigham Field at Huskie Stadium,Northern Illinois,Mid-American,55,17,17,21,0,Presbyterian College,,3,0,0,3,0
400548092,2014,1,regular,2014-08-28T19:00:00.000Z,false,false,15793,3786,Kelly/Shorts Stadium,Central Michigan,Mid-American,20,0,7,13,0,Chattanooga,,16,3,13,0,0
400547829,2014,1,regular,2014-08-28T19:00:00.000Z,false,false,21003,3817,Malone Stadium,Louisiana Monroe,Sun Belt,17,0,0,10,7,Wake Forest,ACC,10,7,3,0,0
400547960,2014,1,regular,2014-08-28T19:00:00.000Z,false,false,0,3953,TCF Bank Stadium,Minnesota,Big Ten,42,7,7,7,21,Eastern Illinois,,20,0,0,0,20
400548090,2014,1,regular,2014-08-28T19:00:00.000Z,false,false,9104,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,41,21,0,13,7,Howard,,0,0,0,0,0
400548256,2014,1,regular,2014-08-28T19:30:00.000Z,false,false,45925,587,Rice-Eccles Stadium,Utah,Pac-12,56,14,21,14,7,Idaho State,,14,7,0,7,0
400547647,2014,1,regular,2014-08-28T20:00:00.000Z,false,true,19032,3674,Skelly Field at H. A. Chapman Stadium,Tulsa,American Athletic,38,0,14,3,11,Tulane,American Athletic,31,7,14,0,7
400548169,2014,1,regular,2014-08-28T20:00:00.000Z,true,false,32823,3495,Georgia Dome,Ole Miss,SEC,35,7,0,0,28,Boise State,Mountain West,13,0,3,3,7
400548404,2014,1,regular,2014-08-28T20:00:00.000Z,false,false,13772,3601,Aggie Memorial Stadium,New Mexico State,FBS Independents,28,7,7,7,7,Cal Poly,,10,7,3,0,0
400547993,2014,1,regular,2014-08-28T22:00:00.000Z,false,false,30927,3673,CenturyLink Field,Washington State,Pac-12,38,3,14,14,7,Rutgers,Big Ten,41,7,14,3,17
400553383,2014,1,regular,2014-08-28T22:00:00.000Z,false,false,10371,3935,Spartan Stadium,San José State,Mountain West,42,14,7,14,7,North Dakota,,10,0,3,0,7
400548255,2014,1,regular,2014-08-28T22:30:00.000Z,false,false,52133,3947,Sun Devil Stadium,Arizona State,Pac-12,45,17,14,14,0,Weber State,,14,0,0,7,7
400547640,2014,1,regular,2014-08-28T22:50:00.000Z,false,false,31731,3973,Vanderbilt Stadium,Vanderbilt,SEC,7,0,7,0,0,Temple,American Athletic,37,7,14,13,3
400547641,2014,1,regular,2014-08-29T19:00:00.000Z,false,false,35150,3892,Rentschler Field,Connecticut,American Athletic,10,0,7,0,3,BYU,FBS Independents,35,14,14,0,7
400547952,2014,1,regular,2014-08-29T19:30:00.000Z,false,false,75127,3936,Spartan Stadium,Michigan State,Big Ten,45,21,17,7,0,Jacksonville State,,7,0,0,7,0
400547815,2014,1,regular,2014-08-29T19:30:00.000Z,false,false,41189,1964,Carrier Dome,Syracuse,ACC,27,7,3,7,0,Villanova,,26,0,7,7,3
400548003,2014,1,regular,2014-08-29T19:30:00.000Z,false,false,17215,3796,Houchens Industries-L. T. Smith Stadium,Western Kentucky,Conference USA,59,14,17,14,14,Bowling Green,Mid-American,31,0,10,14,7
400548171,2014,1,regular,2014-08-29T21:00:00.000Z,true,false,63363,3937,Sports Authority Field at Mile High,Colorado,Pac-12,17,7,3,7,0,Colorado State,Mountain West,31,0,7,7,17
400547644,2014,1,regular,2014-08-29T21:00:00.000Z,false,false,40755,4728,John O'Quinn Field at TDECU Stadium,Houston,American Athletic,7,0,0,0,7,UT San Antonio,Conference USA,27,7,7,10,3
400548177,2014,1,regular,2014-08-29T22:30:00.000Z,false,false,50103,3619,Arizona Stadium,Arizona,Pac-12,58,14,10,24,10,UNLV,Mountain West,13,0,6,7,0
400547642,2014,1,regular,2014-08-30T08:30:00.000Z,true,false,53304,4737,Croke Park Stadium,UCF,American Athletic,24,0,3,7,14,Penn State,Big Ten,26,7,3,10,6
400547808,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,40549,3752,Heinz Field,Pittsburgh,ACC,62,21,21,13,7,Delaware,,0,0,0,0,0
400547916,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,38006,3830,Memorial Stadium,Indiana,Big Ten,28,14,7,0,7,Indiana State,,10,3,0,7,0
400547904,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,36234,3832,Memorial Stadium,Illinois,Big Ten,28,0,7,0,21,Youngstown State,,17,3,3,3,8
400547840,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,54800,3772,Jack Trice Stadium,Iowa State,Big 12,14,7,7,0,0,North Dakota State,,34,0,17,10,7
400547943,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,106811,3558,Michigan Stadium,Michigan,Big Ten,52,14,21,14,3,Appalachian State,Sun Belt,14,0,0,7,7
400547982,2014,1,regular,2014-08-30T12:00:00.000Z,true,false,57579,3814,M&T Bank Stadium,Navy,American Athletic,17,0,7,7,3,Ohio State,Big Ten,34,3,3,14,14
400547820,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,44749,3923,Scott Stadium,Virginia,ACC,20,0,10,7,3,UCLA,Pac-12,28,0,21,7,0
400548400,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,50398,3683,Commonwealth Stadium,Kentucky,SEC,59,14,21,17,7,UT Martin,,14,0,0,0,14
400548010,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,27133,3803,Legion Field,UAB,Conference USA,48,17,7,14,10,Troy,Sun Belt,10,7,3,0,0
400547988,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,37031,3907,Ross-Ade Stadium,Purdue,Big Ten,43,7,16,14,6,Western Michigan,Mid-American,34,7,7,14,6
400547928,2014,1,regular,2014-08-30T12:00:00.000Z,false,false,0,3793,Kinnick Stadium,Iowa,Big Ten,31,7,10,7,7,Northern Iowa,,23,3,10,7,3
400547802,2014,1,regular,2014-08-30T12:30:00.000Z,false,false,54273,3670,Carter-Finley Stadium,NC State,ACC,24,3,0,7,14,Georgia Southern,Sun Belt,23,7,10,3,3
400547772,2014,1,regular,2014-08-30T12:30:00.000Z,false,false,45403,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,38,7,3,14,14,Wofford,,19,3,6,3,7
400548093,2014,1,regular,2014-08-30T14:00:00.000Z,false,false,9659,3919,Scheumann Stadium,Ball State,Mid-American,30,10,10,10,0,Colgate,,10,0,7,0,3
400548170,2014,1,regular,2014-08-30T14:00:00.000Z,false,false,32038,3713,Falcon Stadium,Air Force,Mountain West,44,9,14,14,7,Nicholls,,16,6,3,0,7
400548174,2014,1,regular,2014-08-30T15:00:00.000Z,false,false,21021,3816,Mackay Stadium,Nevada,Mountain West,28,0,7,14,7,Southern Utah,,19,0,0,6,13
400547728,2014,1,regular,2014-08-30T15:00:00.000Z,false,false,30479,3738,Gillette Stadium,UMass,FBS Independents,7,0,0,7,0,Boston College,ACC,30,0,6,14,10
400548005,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,19005,3996,Yager Stadium,Miami (OH),Mid-American,27,0,3,17,7,Marshall,Conference USA,42,14,14,0,14
400547968,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,91441,3834,Memorial Stadium,Nebraska,Big Ten,55,14,17,17,7,Florida Atlantic,Conference USA,7,7,0,0,0
400548401,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,60589,3838,Faurot Field,Missouri,SEC,38,21,0,7,10,South Dakota State,,18,7,3,8,0
400548008,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,80795,3855,Notre Dame Stadium,Notre Dame,FBS Independents,48,14,14,10,10,Rice,Conference USA,17,7,3,0,7
400547835,2014,1,regular,2014-08-30T15:30:00.000Z,true,false,70502,3495,Georgia Dome,Alabama,SEC,33,3,17,10,3,West Virginia,Big 12,23,3,14,3,3
400547936,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,45080,3665,Maryland Stadium,Maryland,Big Ten,52,17,7,21,7,James Madison,,7,0,0,0,7
400547975,2014,1,regular,2014-08-30T15:30:00.000Z,false,false,34228,3911,Ryan Field,Northwestern,Big Ten,24,0,7,14,3,California,Pac-12,31,14,10,7,0
