id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400756907,2015,2,regular,2015-09-12T12:30:00.000Z,false,false,81467,3836,Memorial Stadium,Clemson,ACC,41,3,28,7,3,Appalachian State,Sun Belt,10,0,0,3,7
400756906,2015,2,regular,2015-09-12T13:00:00.000Z,false,false,26132,3615,Alumni Stadium,Boston College,ACC,76,41,21,7,7,Howard,,0,0,0,0,0
400757016,2015,2,regular,2015-09-12T14:00:00.000Z,false,false,35094,3726,Folsom Field,Colorado,Pac-12,48,14,17,17,0,UMass,FBS Independents,14,7,7,0,0
400757020,2015,2,regular,2015-09-12T14:00:00.000Z,false,false,55010,3765,Husky Stadium,Washington,Pac-12,49,0,28,21,0,Sacramento State,,0,0,0,0,0
400763415,2015,2,regular,2015-09-12T15:00:00.000Z,false,false,54090,3784,Jones AT&T Stadium,Texas Tech,Big 12,69,17,21,17,14,UTEP,Conference USA,20,7,10,0,3
400763416,2015,2,regular,2015-09-12T15:00:00.000Z,false,false,52899,3842,Mountaineer Field at Milan Puskar Stadium,West Virginia,Big 12,41,6,14,14,7,Liberty,FBS Independents,17,0,0,7,10
400787306,2015,2,regular,2015-09-12T15:00:00.000Z,false,false,21092,3786,Kelly/Shorts Stadium,Central Michigan,Mid-American,31,7,24,0,0,Monmouth,,10,0,3,7,0
400763598,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,23042,3815,M. M. Roberts Stadium,Southern Mississippi,Conference USA,52,7,21,21,3,Austin Peay,,6,6,0,0,0
400763412,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,45786,3616,Amon G. Carter Stadium,TCU,Big 12,70,21,14,21,14,Stephen F. Austin,,7,0,0,0,7
400756918,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,60118,3799,Lane Stadium,Virginia Tech,ACC,42,7,7,21,7,Furman,,3,0,0,3,0
400757021,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,46536,3754,High Point Solutions Stadium,Rutgers,Big Ten,34,0,6,6,22,Washington State,Pac-12,37,7,6,7,17
400763499,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,32500,3761,Sonny Lubick Field at Hughes Stadium,Colorado State,Mountain West,20,7,0,3,10,Minnesota,Big Ten,23,0,6,7,7
400756910,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,50435,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,65,7,21,16,21,Tulane,American Athletic,10,0,7,0,3
400603866,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,60302,3974,Vaught-Hemingway Stadium,Ole Miss,SEC,73,28,7,21,17,Fresno State,Mountain West,21,0,14,7,0
400763505,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,107145,3861,Ohio Stadium,Ohio State,Big Ten,38,7,7,3,21,Hawai'i,Mountain West,0,0,0,0,0
400603870,2015,2,regular,2015-09-12T15:30:00.000Z,false,true,37185,3973,Vanderbilt Stadium,Vanderbilt,SEC,14,0,6,0,8,Georgia,SEC,31,7,7,10,7
400756917,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,58200,3923,Scott Stadium,Virginia,ACC,27,0,14,0,13,Notre Dame,FBS Independents,34,12,0,14,8
400787307,2015,2,regular,2015-09-12T15:30:00.000Z,false,false,17465,3764,Brigham Field at Huskie Stadium,Northern Illinois,Mid-American,57,6,14,20,17,Murray State,,26,7,3,6,10
400787119,2015,2,regular,2015-09-12T16:00:00.000Z,false,false,19112,3984,War Memorial Stadium,Wyoming,Mountain West,29,7,7,15,0,Eastern Michigan,Mid-American,48,14,24,7,3
400603861,2015,2,regular,2015-09-12T16:00:00.000Z,false,false,49591,3983,War Memorial Stadium,Arkansas,SEC,12,0,7,0,5,Toledo,Mid-American,16,6,3,7,0
400603860,2015,2,regular,2015-09-12T16:00:00.000Z,false,false,98568,3657,Bryant Denny Stadium,Alabama,SEC,37,7,16,14,0,Middle Tennessee,Conference USA,10,0,3,0,7
400763504,2015,2,regular,2015-09-12T16:00:00.000Z,false,false,29131,3911,Ryan Field,Northwestern,Big Ten,41,10,17,14,0,Eastern Illinois,,0,0,0,0,0
400763409,2015,2,regular,2015-09-12T16:45:00.000Z,false,false,61500,3772,Jack Trice Stadium,Iowa State,Big 12,17,3,14,0,0,Iowa,Big Ten,31,3,7,7,14
400757022,2015,2,regular,2015-09-12T17:00:00.000Z,false,false,50830,3831,California Memorial Stadium,California,Pac-12,35,0,14,14,7,San Diego State,Mountain West,7,7,0,0,0
400756914,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,57600,3670,Carter-Finley Stadium,NC State,ACC,35,0,14,14,7,Eastern Kentucky,,0,0,0,0,0
400603868,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,102455,3853,Neyland Stadium,Tennessee,SEC,24,10,7,0,0,Oklahoma,Big 12,31,0,3,0,14
400787308,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,23520,3608,Paulson Stadium,Georgia Southern,Sun Belt,43,7,16,10,10,Western Michigan,Mid-American,17,3,6,0,8
400756908,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,33941,3982,Wallace Wade Stadium,Duke,ACC,55,7,17,17,14,North Carolina Central,,0,0,0,0,0
