id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400935282,2017,1,regular,2017-08-26T14:30:00.000Z,false,false,37583,5388,Canvas Stadium,Colorado State,Mountain West,58,7,17,10,24,Oregon State,Pac-12,27,10,10,0,7
400945031,2017,1,regular,2017-08-26T15:00:00.000Z,false,false,55427,3801,LaVell Edwards Stadium,BYU,FBS Independents,20,7,7,0,6,Portland State,,6,0,6,0,0
400938887,2017,1,regular,2017-08-26T18:00:00.000Z,false,false,12145,3985,Warren McGuirk Alumni Stadium,UMass,FBS Independents,35,7,7,14,7,Hawai'i,Mountain West,38,7,7,7,17
400941786,2017,1,regular,2017-08-26T19:30:00.000Z,false,false,13377,3935,Spartan Stadium,San José State,Mountain West,22,16,0,0,6,South Florida,American Athletic,42,0,28,7,7
400935257,2017,1,regular,2017-08-26T22:00:00.000Z,true,false,33101,5363,Allianz Stadium,Rice,Conference USA,7,0,0,0,7,Stanford,Pac-12,62,21,17,14,10
400938591,2017,1,regular,2017-08-31T18:00:00.000Z,false,false,38063,3652,Bright House Networks Stadium,UCF,American Athletic,61,14,26,14,7,Florida International,Conference USA,17,7,3,7,0
400937445,2017,1,regular,2017-08-31T18:30:00.000Z,false,false,22643,3630,BB&T Field,Wake Forest,ACC,51,16,21,14,0,Presbyterian College,,7,0,0,0,7
400935230,2017,1,regular,2017-08-31T19:00:00.000Z,false,false,43224,3953,TCF Bank Stadium,Minnesota,Big Ten,17,14,0,0,3,Buffalo,Mid-American,7,7,0,0,0
400941787,2017,1,regular,2017-08-31T19:00:00.000Z,false,false,30831,3854,Nippert Stadium,Cincinnati,American Athletic,26,0,14,6,6,Austin Peay,,14,0,7,0,7
400944826,2017,1,regular,2017-08-31T19:00:00.000Z,false,false,24333,4246,Georgia State Stadium,Georgia State,Sun Belt,10,0,3,0,7,Tennessee State,,17,3,7,7,0
